trial_num,subj_code,seed,part,plan_or_exec,correct,reaction_time,key_that_you_pressed
1,AB,7,foot_l,exec,0,2003.0,None
2,AB,7,hand_r,exec,1,945.0,['m']
3,AB,7,foot_r,exec,1,606.0,['m']
4,AB,7,hand_l,exec,1,491.0,['z']
5,AB,7,hand_r,exec,1,352.0,['m']
6,AB,7,hand_l,exec,1,497.0,['z']
7,AB,7,hand_r,exec,1,386.0,['m']
8,AB,7,hand_r,exec,1,431.0,['m']
9,AB,7,hand_l,plan,1,2002.0,None
10,AB,7,foot_l,exec,1,425.0,['z']
11,AB,7,hand_r,exec,1,673.0,['m']
12,AB,7,hand_l,plan,1,2002.0,None
13,AB,7,foot_r,plan,1,2003.0,None
14,AB,7,hand_l,exec,1,399.0,['z']
15,AB,7,hand_l,exec,1,468.0,['z']
16,AB,7,hand_l,exec,1,415.0,['z']
17,AB,7,foot_l,plan,1,2003.0,None
18,AB,7,hand_r,plan,1,2003.0,None
19,AB,7,foot_l,exec,1,390.0,['z']
20,AB,7,foot_l,exec,1,439.0,['z']
21,AB,7,hand_r,exec,1,496.0,['m']
22,AB,7,foot_r,exec,1,625.0,['m']
23,AB,7,foot_r,exec,1,482.0,['m']
24,AB,7,foot_r,exec,1,416.0,['m']
25,AB,7,hand_r,exec,1,612.0,['m']
26,AB,7,foot_r,exec,1,444.0,['m']
27,AB,7,hand_l,exec,1,405.0,['z']
28,AB,7,foot_r,plan,1,2001.0,None
29,AB,7,foot_r,exec,1,454.0,['m']
30,AB,7,hand_r,exec,1,431.0,['m']
31,AB,7,hand_l,exec,1,731.0,['z']
32,AB,7,hand_r,exec,1,516.0,['m']
33,AB,7,foot_r,exec,1,480.0,['m']
34,AB,7,foot_r,exec,1,426.0,['m']
35,AB,7,foot_r,plan,1,2002.0,None
36,AB,7,foot_r,exec,1,382.0,['m']
37,AB,7,hand_l,exec,1,468.0,['z']
38,AB,7,foot_l,exec,1,396.0,['z']
39,AB,7,foot_l,plan,1,2001.0,None
40,AB,7,hand_l,plan,1,2002.0,None
41,AB,7,foot_l,plan,1,2001.0,None
42,AB,7,hand_r,exec,1,478.0,['m']
43,AB,7,hand_r,plan,1,2002.0,None
44,AB,7,hand_l,exec,1,340.0,['z']
45,AB,7,foot_r,exec,1,486.0,['m']
46,AB,7,foot_l,exec,1,442.0,['z']
47,AB,7,foot_l,plan,1,2002.0,None
48,AB,7,foot_l,exec,1,801.0,['z']
49,AB,7,foot_l,exec,1,450.0,['z']
50,AB,7,foot_l,exec,1,430.0,['z']
