trial_num,subj_code,seed,part,plan_or_exec,correct,reaction_time,key_that_you_pressed
1,SZ,13,hand_r,exec,1,465.0,['m']
2,SZ,13,foot_r,plan,1,2002.0,None
3,SZ,13,hand_l,plan,1,2003.0,None
4,SZ,13,hand_r,exec,1,326.0,['m']
5,SZ,13,foot_l,exec,1,421.0,['z']
6,SZ,13,foot_r,exec,1,366.0,['m']
7,SZ,13,hand_r,plan,1,2002.0,None
8,SZ,13,foot_l,exec,1,327.0,['z']
9,SZ,13,hand_l,plan,1,2002.0,None
10,SZ,13,hand_r,plan,1,2002.0,None
11,SZ,13,foot_l,exec,1,659.0,['z']
12,SZ,13,foot_r,exec,1,319.0,['m']
13,SZ,13,foot_r,exec,1,322.0,['m']
14,SZ,13,foot_r,exec,1,281.0,['m']
15,SZ,13,hand_r,plan,1,2002.0,None
16,SZ,13,hand_l,exec,1,332.0,['z']
17,SZ,13,hand_l,plan,0,363.0,['z']
18,SZ,13,hand_l,plan,1,2002.0,None
19,SZ,13,foot_r,plan,1,2003.0,None
20,SZ,13,hand_r,plan,1,2003.0,None
21,SZ,13,foot_l,exec,1,441.0,['z']
22,SZ,13,hand_l,plan,1,2002.0,None
23,SZ,13,foot_r,exec,1,333.0,['m']
24,SZ,13,hand_l,exec,1,314.0,['z']
25,SZ,13,foot_l,exec,1,323.0,['z']
26,SZ,13,hand_r,exec,1,319.0,['m']
27,SZ,13,hand_l,plan,0,332.0,['z']
28,SZ,13,hand_r,exec,1,430.0,['m']
29,SZ,13,hand_r,exec,1,319.0,['m']
30,SZ,13,hand_l,plan,1,2002.0,None
31,SZ,13,foot_r,exec,1,445.0,['m']
32,SZ,13,hand_l,exec,1,308.0,['z']
33,SZ,13,hand_l,exec,1,336.0,['z']
34,SZ,13,hand_l,plan,1,2002.0,None
35,SZ,13,foot_l,exec,1,364.0,['z']
36,SZ,13,foot_l,plan,1,2002.0,None
37,SZ,13,foot_r,exec,1,380.0,['m']
38,SZ,13,foot_r,plan,1,2002.0,None
39,SZ,13,hand_r,plan,1,2002.0,None
40,SZ,13,foot_r,exec,1,348.0,['m']
41,SZ,13,hand_l,exec,1,387.0,['z']
42,SZ,13,hand_r,exec,1,325.0,['m']
43,SZ,13,foot_l,plan,1,2003.0,None
44,SZ,13,foot_l,exec,1,395.0,['z']
45,SZ,13,foot_l,exec,1,357.0,['z']
46,SZ,13,foot_l,exec,1,345.0,['z']
47,SZ,13,foot_l,plan,1,2002.0,None
48,SZ,13,foot_r,exec,1,311.0,['m']
49,SZ,13,hand_r,exec,1,444.0,['m']
50,SZ,13,foot_r,plan,1,2002.0,None
