trial_num,subj_code,seed,part,plan_or_exec,correct,reaction_time
1,AB,7,foot_r,plan,1,998.0
2,AB,7,foot_r,plan,1,460.0
3,AB,7,hand_l,exec,1,467.0
4,AB,7,hand_r,plan,1,420.0
5,AB,7,foot_l,exec,0,384.0
6,AB,7,foot_l,exec,1,1085.0
7,AB,7,foot_l,plan,1,419.0
8,AB,7,foot_r,exec,1,443.0
9,AB,7,foot_r,exec,1,423.0
10,AB,7,hand_r,exec,1,431.0
11,AB,7,foot_r,exec,1,614.0
12,AB,7,hand_r,exec,1,535.0
13,AB,7,foot_r,exec,1,418.0
14,AB,7,foot_r,plan,1,535.0
15,AB,7,foot_r,plan,1,534.0
16,AB,7,hand_l,plan,1,435.0
17,AB,7,foot_l,plan,1,364.0
18,AB,7,hand_l,plan,1,399.0
19,AB,7,hand_l,plan,1,397.0
20,AB,7,hand_r,plan,1,343.0
21,AB,7,hand_l,exec,1,622.0
22,AB,7,hand_l,plan,1,383.0
23,AB,7,foot_r,plan,1,413.0
24,AB,7,foot_l,exec,1,394.0
25,AB,7,foot_l,plan,1,352.0
26,AB,7,foot_l,exec,1,365.0
27,AB,7,foot_r,exec,1,431.0
28,AB,7,foot_l,exec,1,401.0
29,AB,7,hand_l,plan,1,373.0
30,AB,7,hand_l,exec,1,392.0
31,AB,7,foot_l,exec,1,552.0
32,AB,7,foot_l,exec,1,364.0
33,AB,7,foot_r,exec,1,460.0
34,AB,7,hand_l,plan,1,365.0
35,AB,7,hand_r,plan,1,420.0
36,AB,7,hand_r,plan,1,411.0
37,AB,7,hand_l,exec,1,396.0
38,AB,7,hand_r,exec,1,387.0
39,AB,7,hand_r,exec,1,383.0
40,AB,7,hand_r,plan,1,434.0
41,AB,7,foot_r,plan,1,458.0
42,AB,7,hand_l,exec,1,345.0
43,AB,7,hand_r,exec,1,296.0
44,AB,7,foot_l,plan,1,530.0
45,AB,7,hand_l,exec,1,401.0
46,AB,7,foot_l,plan,1,461.0
47,AB,7,foot_r,exec,1,410.0
48,AB,7,hand_r,exec,1,397.0
49,AB,7,foot_l,plan,1,398.0
50,AB,7,hand_r,plan,1,423.0
