trial_num,subj_code,seed,part,plan_or_exec,correct,reaction_time
1,SZ,13,hand_l,plan,1,496.0
2,SZ,13,hand_r,plan,1,393.0
3,SZ,13,hand_l,plan,1,319.0
4,SZ,13,foot_l,plan,1,638.0
5,SZ,13,hand_r,exec,1,359.0
6,SZ,13,foot_r,exec,1,365.0
7,SZ,13,foot_r,plan,1,362.0
8,SZ,13,foot_l,plan,1,417.0
9,SZ,13,hand_l,exec,1,376.0
10,SZ,13,hand_r,exec,1,280.0
11,SZ,13,foot_l,exec,1,469.0
12,SZ,13,hand_r,exec,1,350.0
13,SZ,13,foot_r,exec,1,316.0
14,SZ,13,foot_r,exec,1,335.0
15,SZ,13,hand_l,exec,1,311.0
16,SZ,13,hand_r,plan,1,279.0
17,SZ,13,foot_r,plan,1,334.0
18,SZ,13,hand_r,exec,1,323.0
19,SZ,13,foot_l,exec,1,308.0
20,SZ,13,hand_l,plan,1,310.0
21,SZ,13,foot_l,exec,1,447.0
22,SZ,13,foot_l,exec,1,295.0
23,SZ,13,foot_r,exec,1,271.0
24,SZ,13,foot_r,plan,1,315.0
25,SZ,13,hand_r,plan,1,315.0
26,SZ,13,hand_r,plan,1,293.0
27,SZ,13,hand_r,plan,1,322.0
28,SZ,13,foot_l,plan,1,364.0
29,SZ,13,hand_l,exec,1,337.0
30,SZ,13,foot_r,plan,1,297.0
31,SZ,13,foot_l,plan,1,435.0
32,SZ,13,hand_r,plan,1,357.0
33,SZ,13,foot_r,plan,1,308.0
34,SZ,13,foot_r,exec,1,328.0
35,SZ,13,hand_l,plan,1,204.0
36,SZ,13,hand_l,exec,1,270.0
37,SZ,13,hand_l,exec,1,313.0
38,SZ,13,foot_r,exec,1,303.0
39,SZ,13,hand_l,plan,1,290.0
40,SZ,13,hand_r,exec,1,254.0
41,SZ,13,hand_l,exec,1,329.0
42,SZ,13,foot_l,exec,1,293.0
43,SZ,13,hand_l,plan,1,298.0
44,SZ,13,foot_l,exec,1,310.0
45,SZ,13,foot_r,plan,1,312.0
46,SZ,13,foot_r,exec,0,259.0
47,SZ,13,hand_r,exec,1,391.0
48,SZ,13,foot_l,plan,1,277.0
49,SZ,13,hand_l,exec,1,309.0
50,SZ,13,foot_l,plan,1,319.0
