subj_code,seed,part,movement,plan_temporal_jitter,exec_temporal_jitter
AB,7,hand_l,clockwise,4.3,5.6
AB,7,foot_r,counterclockwise,4.3,4.8
AB,7,foot_l,counterclockwise,2.3,7.2
AB,7,hand_l,counterclockwise,2.2,4.5
AB,7,foot_l,leftright,2.4,5.6
AB,7,hand_r,clockwise,4.1,8.4
AB,7,hand_r,counterclockwise,6.2,5.4
AB,7,foot_r,counterclockwise,5.2,4.8
AB,7,hand_l,clockwise,4.9,4.4
AB,7,hand_r,clockwise,2.3,7.1
AB,7,foot_l,counterclockwise,5.9,4.7
AB,7,foot_r,clockwise,5.9,5.2
AB,7,foot_l,clockwise,5.8,5.5
AB,7,foot_l,clockwise,4.3,4.5
AB,7,hand_l,leftright,5.0,4.7
AB,7,foot_r,clockwise,3.5,8.0
AB,7,hand_l,counterclockwise,4.6,4.7
AB,7,foot_r,clockwise,5.9,5.3
AB,7,hand_r,clockwise,6.1,4.6
AB,7,foot_l,leftright,5.6,7.7
AB,7,hand_r,counterclockwise,2.4,5.5
AB,7,hand_l,leftright,6.5,6.6
AB,7,hand_l,clockwise,6.0,6.1
AB,7,hand_r,clockwise,6.2,4.0
AB,7,hand_l,clockwise,2.7,7.2
AB,7,foot_l,leftright,3.9,7.3
AB,7,hand_l,leftright,3.8,6.6
AB,7,foot_r,leftright,3.6,5.7
AB,7,hand_r,leftright,2.9,8.4
AB,7,foot_r,leftright,4.9,8.3
AB,7,foot_r,leftright,2.3,7.6
AB,7,foot_r,clockwise,4.4,4.5
AB,7,hand_l,counterclockwise,5.5,5.7
AB,7,hand_r,counterclockwise,6.2,5.4
AB,7,foot_l,counterclockwise,2.4,6.5
AB,7,foot_l,counterclockwise,3.5,5.2
AB,7,hand_r,leftright,4.7,5.0
AB,7,foot_r,counterclockwise,4.3,7.7
AB,7,hand_r,leftright,2.6,7.7
AB,7,hand_r,leftright,6.5,6.0
AB,7,foot_r,leftright,4.7,5.9
AB,7,foot_r,counterclockwise,2.3,8.4
AB,7,foot_l,clockwise,2.9,5.8
AB,7,hand_r,counterclockwise,3.5,4.5
AB,7,hand_l,leftright,2.1,5.6
AB,7,hand_l,counterclockwise,6.1,5.8
AB,7,foot_l,clockwise,3.5,5.1
AB,7,foot_l,leftright,5.8,4.3
