subj_code,seed,part,movement,plan_temporal_jitter,exec_temporal_jitter
SZ,13,foot_r,counterclockwise,6.3,4.9
SZ,13,foot_l,clockwise,6.2,6.3
SZ,13,foot_l,counterclockwise,6.1,4.5
SZ,13,hand_r,clockwise,5.4,5.8
SZ,13,foot_l,counterclockwise,5.4,5.3
SZ,13,foot_r,clockwise,2.9,5.6
SZ,13,hand_l,leftright,5.7,8.3
SZ,13,hand_r,leftright,4.1,7.2
SZ,13,foot_l,leftright,2.3,8.5
SZ,13,hand_r,clockwise,2.9,6.7
SZ,13,foot_r,leftright,6.2,5.5
SZ,13,foot_l,clockwise,5.1,5.7
SZ,13,foot_r,counterclockwise,5.1,5.3
SZ,13,foot_l,leftright,5.0,8.3
SZ,13,foot_r,clockwise,3.8,8.1
SZ,13,hand_l,leftright,5.6,7.1
SZ,13,foot_r,leftright,4.5,5.8
SZ,13,hand_r,clockwise,6.5,6.1
SZ,13,hand_r,clockwise,6.4,6.8
SZ,13,hand_r,leftright,6.0,5.6
SZ,13,foot_r,leftright,3.1,7.3
SZ,13,hand_r,counterclockwise,2.2,4.0
SZ,13,foot_r,counterclockwise,3.5,5.9
SZ,13,hand_l,clockwise,2.5,8.5
SZ,13,hand_l,counterclockwise,5.3,8.4
SZ,13,hand_r,leftright,2.0,7.8
SZ,13,hand_l,leftright,2.3,4.1
SZ,13,foot_r,counterclockwise,3.4,8.1
SZ,13,foot_r,clockwise,2.7,8.1
SZ,13,hand_r,counterclockwise,4.3,8.3
SZ,13,hand_r,counterclockwise,5.0,6.6
SZ,13,hand_l,clockwise,5.0,7.4
SZ,13,foot_l,leftright,3.7,4.9
SZ,13,foot_l,clockwise,5.1,6.8
SZ,13,hand_r,counterclockwise,2.1,6.7
SZ,13,hand_l,counterclockwise,3.2,5.0
SZ,13,foot_l,counterclockwise,3.9,4.2
SZ,13,hand_l,leftright,4.8,5.3
SZ,13,foot_r,clockwise,3.7,4.9
SZ,13,foot_l,clockwise,2.3,4.7
SZ,13,foot_l,leftright,6.1,8.0
SZ,13,hand_l,counterclockwise,3.1,4.8
SZ,13,hand_l,clockwise,4.5,6.9
SZ,13,hand_r,leftright,6.5,7.0
SZ,13,hand_l,clockwise,2.8,5.6
SZ,13,foot_l,counterclockwise,5.9,7.2
SZ,13,hand_l,counterclockwise,2.7,6.3
SZ,13,foot_r,leftright,3.3,6.7
