subj_code,seed,part,plan_or_exec
 ,1,hand_l,plan
 ,1,foot_r,plan
 ,1,hand_r,exec
 ,1,hand_l,plan
 ,1,hand_r,plan
 ,1,hand_l,exec
 ,1,foot_l,exec
 ,1,hand_r,plan
 ,1,foot_l,exec
 ,1,foot_r,plan
 ,1,foot_r,exec
 ,1,foot_r,exec
 ,1,hand_r,plan
 ,1,hand_r,plan
 ,1,foot_l,plan
 ,1,foot_l,plan
 ,1,foot_l,plan
 ,1,foot_l,exec
 ,1,hand_r,plan
 ,1,foot_l,exec
 ,1,foot_r,plan
 ,1,hand_r,plan
 ,1,foot_r,exec
 ,1,hand_l,plan
 ,1,hand_l,exec
 ,1,foot_r,exec
 ,1,hand_l,exec
 ,1,foot_l,plan
 ,1,foot_r,plan
 ,1,foot_l,exec
 ,1,hand_l,exec
 ,1,hand_r,exec
 ,1,foot_r,exec
 ,1,foot_l,plan
 ,1,hand_r,exec
 ,1,hand_l,plan
 ,1,hand_l,plan
 ,1,foot_r,plan
 ,1,hand_r,exec
 ,1,foot_l,plan
 ,1,hand_l,exec
 ,1,hand_l,plan
 ,1,foot_l,exec
 ,1,hand_r,exec
 ,1,hand_l,exec
 ,1,foot_r,plan
 ,1,hand_l,plan
 ,1,hand_r,exec
 ,1,foot_r,exec
 ,1,foot_r,plan
