subj_code,seed,part,plan_or_exec
AB,7,foot_r,plan
AB,7,foot_r,plan
AB,7,hand_l,exec
AB,7,hand_r,plan
AB,7,foot_l,exec
AB,7,foot_l,exec
AB,7,foot_l,plan
AB,7,foot_r,exec
AB,7,foot_r,exec
AB,7,hand_r,exec
AB,7,foot_r,exec
AB,7,hand_r,exec
AB,7,foot_r,exec
AB,7,foot_r,plan
AB,7,foot_r,plan
AB,7,hand_l,plan
AB,7,foot_l,plan
AB,7,hand_l,plan
AB,7,hand_l,plan
AB,7,hand_r,plan
AB,7,hand_l,exec
AB,7,hand_l,plan
AB,7,foot_r,plan
AB,7,foot_l,exec
AB,7,foot_l,plan
AB,7,foot_l,exec
AB,7,foot_r,exec
AB,7,foot_l,exec
AB,7,hand_l,plan
AB,7,hand_l,exec
AB,7,foot_l,exec
AB,7,foot_l,exec
AB,7,foot_r,exec
AB,7,hand_l,plan
AB,7,hand_r,plan
AB,7,hand_r,plan
AB,7,hand_l,exec
AB,7,hand_r,exec
AB,7,hand_r,exec
AB,7,hand_r,plan
AB,7,foot_r,plan
AB,7,hand_l,exec
AB,7,hand_r,exec
AB,7,foot_l,plan
AB,7,hand_l,exec
AB,7,foot_l,plan
AB,7,foot_r,exec
AB,7,hand_r,exec
AB,7,foot_l,plan
AB,7,hand_r,plan
