subj_code,seed,part,plan_or_exec
S001,1,hand_l,plan
S001,1,foot_r,plan
S001,1,hand_r,exec
S001,1,hand_l,plan
S001,1,hand_r,plan
S001,1,hand_l,exec
S001,1,foot_l,exec
S001,1,hand_r,plan
S001,1,foot_l,exec
S001,1,foot_r,plan
S001,1,foot_r,exec
S001,1,foot_r,exec
S001,1,hand_r,plan
S001,1,hand_r,plan
S001,1,foot_l,plan
S001,1,foot_l,plan
S001,1,foot_l,plan
S001,1,foot_l,exec
S001,1,hand_r,plan
S001,1,foot_l,exec
S001,1,foot_r,plan
S001,1,hand_r,plan
S001,1,foot_r,exec
S001,1,hand_l,plan
S001,1,hand_l,exec
S001,1,foot_r,exec
S001,1,hand_l,exec
S001,1,foot_l,plan
S001,1,foot_r,plan
S001,1,foot_l,exec
S001,1,hand_l,exec
S001,1,hand_r,exec
S001,1,foot_r,exec
S001,1,foot_l,plan
S001,1,hand_r,exec
S001,1,hand_l,plan
S001,1,hand_l,plan
S001,1,foot_r,plan
S001,1,hand_r,exec
S001,1,foot_l,plan
S001,1,hand_l,exec
S001,1,hand_l,plan
S001,1,foot_l,exec
S001,1,hand_r,exec
S001,1,hand_l,exec
S001,1,foot_r,plan
S001,1,hand_l,plan
S001,1,hand_r,exec
S001,1,foot_r,exec
S001,1,foot_r,plan
